dataset,model,model_display,threshold,metric,estimate,ci_low,ci_high,bootstrap_rounds_used
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,roc_auc,0.9987448722041224,0.9976982202478425,0.9995047282001055,300
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,expected_cost_per_10k,398.0,236.44375000000002,585.4124999999997,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,recall,0.9866518353726362,0.9791984748031748,0.994290546270565,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,precision,0.8914572864321608,0.870376275510204,0.9103596929049252,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,mcc,0.9363722534461396,0.9252407372740523,0.9463113027977463,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,pr_auc,0.990418222461772,0.9869659168528008,0.9940090058013246,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,roc_auc,0.9988688203411722,0.9973007487089148,0.999811728575175,300
D3_PaySim,LightGBM,LightGBM balanced,0.1,expected_cost_per_10k,327.0,155.01875,501.13125,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,recall,0.9877641824249166,0.9804307234417341,0.994474377467819,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,precision,0.8139321723189734,0.7951496321960282,0.8369319258729373,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,mcc,0.8941306307577194,0.8812149380303681,0.9070830749757121,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,pr_auc,0.9850979879772638,0.9809988740590637,0.9894574575597817,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,roc_auc,0.9991823462577264,0.9986014512610476,0.9996659919546101,300
D3_PaySim,CatBoost,CatBoost balanced,0.62,expected_cost_per_10k,325.75,179.36875,501.68125,300
D3_PaySim,BRF,Balanced RF,0.42,recall,0.9899888765294772,0.9833236002966259,0.9956245062127416,300
D3_PaySim,BRF,Balanced RF,0.42,precision,0.5686900958466453,0.545476570753056,0.594917531386472,300
D3_PaySim,BRF,Balanced RF,0.42,mcc,0.7436072922727179,0.7281298627814923,0.7610294212259231,300
D3_PaySim,BRF,Balanced RF,0.42,pr_auc,0.9750802731325935,0.9693259909120782,0.9807893434406053,300
D3_PaySim,BRF,Balanced RF,0.42,roc_auc,0.9983584766173703,0.9967600083388661,0.9994133044855142,300
D3_PaySim,BRF,Balanced RF,0.42,expected_cost_per_10k,393.75,267.7125,535.6062499999998,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,recall,0.9877641824249166,0.9802247615932622,0.9935241828235459,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,precision,0.24964858026426764,0.23640974445486218,0.2641648161045698,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,mcc,0.4788273048713457,0.4648114842415443,0.4922733342563603,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,pr_auc,0.8758953117331236,0.8582386983941515,0.8917249673606988,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,roc_auc,0.9931740193439317,0.9916394265582786,0.9947233340068228,300
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,expected_cost_per_10k,942.25,814.2625,1112.26875,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,recall,0.982202447163515,0.973429361061973,0.9900629642277811,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,precision,0.583994708994709,0.5606323169799449,0.6072253155348449,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,mcc,0.7508694608151316,0.735139183341034,0.7670889566503345,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,pr_auc,0.9569299028312374,0.9488709069025549,0.9655227425631984,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,roc_auc,0.9974207294482994,0.9960424811895126,0.9985031179342354,300
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,expected_cost_per_10k,557.25,386.34375,750.9124999999999,300
